County Code,Record ID,Legal Name,Facility Name,Physical Address,Physical Address 2,Mailing Address,Mailing Address 2,Physical City,Mailing City,Physical State,Mailing State,Physical Zip,Mailing Zip,Facility Phone,Type of Application,Service Type,Client/Patient Capacity,Expiration Date,Target Population
41,2 068 015,TELECARE CORPORATION,"Cordilleras Mental Health Center
",200 Edmonds Road,,200 Edmonds Road,,Redwood City,Redwood City,CA,CA,94062,94062,(650) 367-1890,Licensed,MHRC,68,44805,CO-ED/ADULT
12,2 042 013,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Behavioral Health Center,2370 Buhne Street,,2370 Buhne Street,,Eureka,Eureka,CA,CA,95501,95501,(707) 442-5721,Licensed,MHRC,42,44888,CO-ED/ADULT
43,2 100 017,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Behavioral Health Center - San Jose,1425 Fruitdale Avenue,,1425 Fruitdale Avenue,,San Jose,San Jose,CA,CA,95128,95128,(408) 275-1010,Licensed,MHRC,100,44627,CO-ED/ADULT
15,2 055 012,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Behavioral Health Center-Bakersfield,6700 Eucalyptus Drive,Suite A,6700 Eucalyptus Drive,Suite A,Bakersfield,Bakersfield,CA,CA,93306,93306,(661) 363-8127,Licensed,MHRC,55,44834,CO-ED/ADULT
28,2 054 010,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood C.E.N.T.E.R.,295 Pine Breeze Drive,,295 Pine Breeze Drive,,Angwin,Angwin,CA,CA,94508,94508,(707) 965-2461,Licensed,MHRC,54,44643,CO-ED/ADULT
34,2 054 029,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Center,2600 Stockton Boulevard,,2600 Stockton Boulevard,,Sacramento,Sacramento,CA,CA,95817,95817,(916) 452-1431,Licensed,MHRC,54,44697,CO-ED/ADULT
37,2 040 034,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Chula Vista,960 3rd Avenue                        ,,960 3rd Avenue                        ,,Chula Vista,Chula Vista,CA,CA,91911,91911,(619) 814-2379,Licensed,MHRC,40,44765,CO-ED/ADULT
15,2 016 045,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Psychiatric Health,6700 Eucalyptus Drive,Suite C,6700 Eucalyptus Drive,Suite C,Bakersfield,Bakersfield,CA,CA,93306,93306,(661) 363-8127,Licensed,PHF,16,44880,CO-ED/ADULT
34,2 016 042,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Psychiatric Health Facility,4741 Engle Road,,4741 Engle Road,,Carmichael,Carmichael,CA,CA,95608,95608,"(916) 483-8424, 977- 0949",Licensed,PHF,16,44614,CO-ED/ADULT
34,2 016 048,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Psychiatric Health Facility,2600 Stockton Boulevard,Suite B,2600 Stockton Boulevard,Suite B,Sacramento,Sacramento,CA,CA,95817,95817,(916) 452-1431,Licensed,PHF,16,44747,CO-ED/ADULT
43,2 016 047,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Psychiatric Health Facility,1425 Fruitdale Avenue,Suite A,1425 Fruitdale Avenue,Suite A,San Jose,San Jose,CA,CA,95128,95128,(408) 275-1010,Licensed,PHF,16,44987,CO-ED/ADULT
48,2 091 027,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Recovery and Rehabilitation,115 Oddstad Drive,,115 Oddstad Drive,,Vallejo,Vallejo,CA,CA,94589,94589,(707) 552-0215,Licensed,MHRC,91,44743,CO-ED/ADULT
37,2 109 033,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood San Diego,5550 University Avenue ,Suite A,5550 University Avenue,Suite A,San Diego,San Diego,CA,CA,92105,92105,(619) 481-6790,Licensed,MHRC,109,44735,CO-ED/ADULT
48,2 016 055,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Crestwood Solano Psychiatric Health Facility,2201 Tuolumne Street,Suite B,2201 Tuolumne Street,Suite B,Vallejo,Vallejo,CA,CA,94589,94589,(707) 558-1777,Licensed,PHF,16,44654,CO-ED/ADULT
10,"
2 016 059
","EXODUS RECOVERY, INC.",Exodus Psyciatric Health Facility Fresno    ,"4411 E. Kings Canyon Road
",,"4411 E. Kings Canyon Road
",,Fresno,Fresno,CA,CA,93702,93702,(559) 600-7180,Licensed,PHF,16,45292,CO-ED/ADULT
19,2 016 052,"EXODUS RECOVERY, INC.",Exodus Recovery,9808 Venice Boulevard,3rd floor,9808 Venice Boulevard,3rd floor,Culver City,Culver City,CA,CA,90232,90232,(310) 237-0454,Licensed,PHF,16,45270,CO-ED/ADULT
37,2 132 039,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Fallbrook Healing Center    ,624 E. Elder Street,,624 E. Elder Street,,Fallbrook,Fallbrook,CA,CA,92028,92028,(760) 451-4165 ,Licensed,MHRC,132,44807,CO-ED/ADULT
1,2 040 009,TELECARE CORPORATION,Gladman,2633 East 27th Street,,2633 East 27th Street,,Oakland,Oakland,CA,CA,94601,94601,(510) 536-8111,Licensed,MHRC,40,44713,CO-ED/ADULT
56,2 015 038,GOLDEN - HILLMONT HOUSE,Golden Hillmont House ,1750A Lewis Road,,1750A Lewis Road,,Camarillo,Camarillo,CA,CA,93012,93012,(805) 702-2930              ,Licensed,MHRC,15,44711,CO-ED/ADULT
19,2 065 040,"HARBORVIEW CENTER, LLC",Harborview Center ,490 W. 14th Street          ,,490 W. 14th Street          ,,Long Beach,Long Beach,CA,CA,90813,90813,(562) 591-8701 ,Licensed,MHRC,65,44807,CO-ED/ADULT
34,2 016 064,"Heritage Oaks Patient Enrichment Center, Inc. ",Heritage Oaks Patient Enrichment Center,4378 Auburn Boulevard,,4378 Auburn Boulevard,,Sacramento,Sacramento,CA,CA,95841,95841,(279) 348-7200,Licensed,PHF,16,45217,CO-ED/ADULT
56,2 016 036,TELECARE CORPORATION,Horizon View,333 Skyway Drive,,333 Skyway Drive,,Camarillo,Camarillo,CA,CA,93010,93010,(805) 383-1155,Licensed,MHRC,16,44922,CO-ED/ADULT
43,2 024 044,KAISER PERMANENTE,Kaiser  Permanente Psychiatric Health Facility - Santa Clara,3840 Homestead Road,,3840 Homestead Road,,Santa Clara,Santa Clara,CA,CA,95051,95051,(408) 851-4850,Licensed,PHF,24,44866,CO-ED/ADULT
10,2 066 035,"CRESTWOOD BEHAVIORAL HEALTH, INC.",Kingsburg Healing Center           ,1200 Smith Street,,1200 Smith Street,,Kingsburg,Kingsburg,CA,CA,93631,93631,(559) 238-6981,Licensed,MHRC,66,44593,CO-ED/ADULT
19,2 190 007,TELECARE CORPORATION,La Casa,6060 Paramount Boulevard,,6060 Paramount Boulevard,,Long Beach,Long Beach,CA,CA,90805,90805,(562) 634-9534,Licensed,MHRC,190,44642,CO-ED/ADULT
19,2 016 031,TELECARE CORPORATION,La Casa  Psychiatric Health Facility,6060 Paramount Boulevard,,6060 Paramount Boulevard,,Long Beach,Long Beach,CA,CA,90805,90805,(562) 630 8672,Licensed,PHF,16,44875,CO-ED/ADULT
24,1 016 008,MERCED COUNTY MENTAL HEALTH,Marie Green  Psychiatric Center,300 East 15th Street,,P.O. Box 2087,,Merced,Merced,CA,CA,95340,95344,(209) 381-6879 ,Licensed,PHF,16,44789,CO-ED/ADULT
19,2 006 044 ,Montare Behavioral Health,Montare Behavioral Health,15350 Sutton Street,,15350  Sutton Street,,Sherman Oaks,Sherman Oaks,CA,CA,90403,90403,(818) 849-6727,Licensed,MHRC,6,44687,CO-ED/ADULT
58,2 016 037,NORTH VALLEY BEHAVIORAL HEALTH,North Valley Behavioral Center,1535 Plumas Court,,1535 Plumas Court,,Yuba City,Yuba City,CA,CA,95991,95991,(530) 790-2520,Licensed,PHF,16,45213,CO-ED/ADULT
19,2 036 043,"COLLABORATIVE NEUROSCIENCE NETWORK, INC. ",Ocean View Psychiatric Health Facility,2600 Redondo Avenue,Suite 500,2600 Redondo Avenue,Suite 500,Long Beach,Long Beach,CA,CA,90806,90806,(562)304-1740 ,Licensed,PHF,36,44803,CO-ED/ADULT
1,2 015 024,TELECARE CORPORATION,Redwood Place Mental Health Rehabilitation Center,18949 Redwood Road,,18949 Redwood Road,,Castro Valley,Castro Valley,CA,CA,94546,94546,(510) 881-1606,Licensed,MHRC,15,44785,CO-ED/ADULT
45,2 016 049,"RESTPADD, INC.",Restpadd Psychiatric Health Facility,2750 Eureka Way,,2750 Eureka Way,,Redding,Redding,CA,CA,96001,96001,(530) 262-6700,Licensed,PHF,16,44984,CO-ED/ADULT
52,2 016 060,RESTPADD HEALTH CORP.,Restpadd Red Bluff Psychiatric Health Facility,925 Walnut Street      ,,925 Walnut Street      ,,Red Bluff,Red Bluff,CA,CA,96080,96080,(530) 567-7300,Licensed,PHF,16,45072,CO-ED/ADULT- CHILDREN
33,2 038 41,"COUNTY OF RIVERSIDE, RIVERSIDE UNIVERSITY HEALTH SYSTEM-BEHAVIOAL HEALTH/ TELECARE CORPORATION",Riverside County Telecare Mental Health Rehabilitation Center,3933 Harrison Street,,3933 Harrison Street,,Riverside,Riverside,CA,CA,92503,92503,(951) 358-4700,Licensed,MHRC,31,44681,CO-ED/ADULT
30,2 080 020,"ROYALE HEALTH CARE CENTER, INC.",Royale Health Care Center,23228 Madero Avenue,,23228 Madero Avenue,,Mission Viejo,Mission Viejo,CA,CA,92691,92691,(949) 900-4580,Licensed,MHRC,80,44668,CO-ED/ADULT
34,1 050 011,SACRAMENTO COUNTY MENTAL HEALTH,Sacramento County Mental Health Treatment Center,2150 Stockton Boulevard,,2150 Stockton Boulevard,,Sacramento,Sacramento,CA,CA,95817,95817,(916) 875-1000 ,Licensed,PHF,50,44592,CO-ED/ADULT
38,2 054 037,"CRESTWOOD BEHAVIORAL HEALTH, INC.",San Francisco Healing Center,450 Stanyan Street,5th Floor,450 Stanyan Street,5th Floor,San Francisco,San Francisco,CA,CA,94117,94117,(415) 213-7993,Licensed,MHRC,54,44668,CO-ED/ADULT
38,2 047 026,SAN FRANCISCO BEHAVIORAL HEALTH FACILITY,San Francisco Mental Health Rehabilitation Center,887 Potrero Avenue,,887 Potrero Avenue,,San Francisco,San Francisco,CA,CA,94110,94110,(628) 206-6300,Licensed,MHRC,47,44733,CO-ED/ADULT
39,1 016 012,SAN JOAQUIN COUNTY MENTAL HEALTH,San Joaquin Psychiatric Health Facility,1212 N. California Street,,1212 N. California Street,,Stockton,Stockton,CA,CA,95202,95202,(209) 468-8720,Licensed,PHF,16,44592,CO-ED/ADULT
40,2  016 035,SAN LUIS OBISPO COUNTY BEHAVIORAL HEALTH SERVICES,San Luis Obispo County Psychiatric Health Facility,2178 Johnson Avenue,,2178 Johnson Avenue,,San Luis Obispo,San Luis Obispo,CA,CA,93401,93401,(805) 781-4711 ,Licensed,PHF,16,45024,CO-ED/ADULT
10,2 015 031,TELECARE CORPORATION,Sanger Place,2511 Jensen Avenue,,2511 Jensen Avenue,,Sanger,Sanger,CA,CA,93657,93657,(559) 875-3023,Licensed,MHRC,15,44898,CO-ED/ADULT
42,1 016 014,SANTA BARBARA COUNTY MENTAL HEALTH,Santa Barbara Psychiatric Health Facility,315 Camino del Remedio,,315 Camino del Remedio,,Santa Barbara,Santa Barbara,CA,CA,93110,93110,(805) 681-5244 ,Licensed,PHF,16,44957,CO-ED/ADULT
12,1 016 003,HUMBOLDT COUNTY MENTAL HEALTH,Sempervirens  Psychiatric Health Facility,720 Wood Street,,720 Wood Street,,Eureka,Eureka,CA,CA,95501,95501,(707) 445-7710 ,Licensed,PHF,16,44592,CO-ED/ADULT
51,2 016 051,SEQUOIA PSYCHIATRIC TREATMENT CENTER,Sequoia Psychiatric Treatment Center,1541 Plumas Court,,1547 Plumas Court,,Yuba City,Yuba City,CA,CA,95991,95991,(530) 751-9980,Licensed,MHRC,16,44786,CO-ED/ADULT
51,2 016 063,"NORTH VALLEY BEHAVIORAL HEALTH, LLC",Stabler Lane Behavioral Health,1252 Stabler Lane,,1253 Stabler Lane,,Yuba City,Yuba City,CA,CA,95993,95993,(530) 418-0444,Licensed,PHF,16,44833,CO-ED/ADULT
19,2 016 029,"STAR VIEW ADOLESCENT CENTER, INC.",Star View Adolescent Psychiatric Health Facility,4025 W. 226 Street,,4025 W. 226 Street,,Torrance,Torrance,CA,CA,90505,90505,(310) 373-4556 ,Licensed,PHF,16,45238,CO-ED/CHILDREN
"51, 58",1 016 015,SUTTER/YUBA DEPARTMENT OF MENTAL HEALTH,Sutter/Yuba Psychiatric Health Facility,1965 Live Oak Boulevard,,P.O. Box 1520,,Yuba City,Yuba City,CA,CA,95991,95992,(530) 822-7209,Licensed,PHF,16,44957,CO-ED/ADULT
9,2 016 057,TELECARE CORPORATION,Telecare El Dorado County Psychiatric Health Facility,935-B Spring Street,,935-B Spring Street,,Placerville,Placerville,CA,CA,95667,95667,(530) 621-6213,Licensed,PHF,16,44958,CO-ED/ADULT
1,2 026 036,TELECARE CORPORATION,Telecare Heritage Psychiatric Health Facility,2633 East 27th Street,,2633 East 27th Street,,Oakland,Oakland,CA,CA,94601,94601,(510) 535-5115 ,Licensed,PHF,26,44959,CO-ED/ADULT
33,2 016 056,TELECARE CORPORATION,Telecare Riverside County Psychiatric Health Facility,47-915 Oasis Street,,47-915 Oasis Street,,Indio,Indio,CA,CA,92201,92201,(760) 863-8650,Licensed,PHF,59,44960,CO-ED/ADULT
44,2 016 053,TELECARE CORPORATION,Telecare Santa Cruz County Psychiatric Health Facility,2250 Soquel Avenue,Suite 150,2250 Soquel Avenue,Suite 150,Santa Cruz,Santa Cruz,CA,CA,95062,95062,(831) 600-2801,Licensed,PHF,16,44961,CO-ED/ADULT
50,2 016 054,TELECARE CORPORATION,Telecare Stanislaus County PHF,1904  Richland Avenue,,1904  Richland Avenue,,Ceres,Ceres,CA,CA,95307,95307,(209) 300-8800,Licensed,PHF,16,44962,CO-ED/ADULT
1,2 016 039,TELECARE CORPORATION,Telecare Willow Rock Center,2050 Fairmont Drive,,2050 Fairmont Drive,,San Leanro,San Leanro,CA,CA,94578,94578,(510) 895-5502,Licensed,PHF,16,45109,CO-ED/CHILDREN
1,2 099 014,TELECARE CORPORATION,Villa Fairmont,15200 Foothill Boulevard,,15200 Foothill Boulevard,,San Leandro,San Leandro,CA,CA,94578,94578,(510) 352-9690,Licensed,MHRC,99,44599,CO-ED/ADULT
